# BulTreeBank Wordnet (BTB-WN)	bul	http://www.bultreebank.org/	CC BY 3.0
00001740-v	bul:def	0	Поемам въздух в гърдите си.
00001740-v	bul:lemma	дишам
00002684-n	bul:def	0	Къс материя, с форма и размери, който съществува в природата или е изработен от човека за задоволяване на някакви потребности, нужди.
00002684-n	bul:exe	0	Лични вещи
00002684-n	bul:exe	1	Наблюдавам с интерес сянката на предмет, осветен от слънцето
00002684-n	bul:exe	2	Неодушевен предмет
00002684-n	bul:exe	3	Подреждам предметите по местата им
00002684-n	bul:exe	4	Предмети за бита
00002684-n	bul:exe	5	Предмети за лично ползване
00002684-n	bul:exe	6	Предмети от първа необходимост
00002684-n	bul:exe	7	Ценни вещи и предмети
00002684-n	bul:lemma	вещ
00002684-n	bul:lemma	обект
00002684-n	bul:lemma	предмет
00003826-v	bul:def	0	Несъзнателно и рязко поемам въздух поради спазъм в диафрагмата, като при това издавам особен шум.
00003826-v	bul:lemma	хлъцна
00003826-v	bul:lemma	хълцам
00004032-v	bul:def	0	Поемам дълбоко въздух и го издишвам.
00004032-v	bul:lemma	въздишам
00004032-v	bul:lemma	въздъхна
00005205-a	bul:def	0	Който се проявява изцяло, в своята пълнота, в крайната си степен.
00005205-a	bul:lemma	абсолютен
00005526-v	bul:def	0	Дишам шумно, обикновено от умора, силни чувства, болест, горещина и др.
00005526-v	bul:lemma	дишам тежко
00005526-v	bul:lemma	задъхам се
00005526-v	bul:lemma	задъхвам се
00005815-v	bul:def	0	Изкарвам силна струя въздух от устата с характерен шум поради дразнене или заболяване на дихателните органи.
00005815-v	bul:lemma	кашлям
00006032-a	bul:def	0	Който се установява, оценява чрез сравнение, чрез съпоставяне с нещо друго.
00006032-a	bul:lemma	относителен
00006032-a	bul:lemma	сравнителен
00006269-n	bul:def	0	Жизненост, оживление, бодрост.
00006269-n	bul:exe	0	Океанът кипи от живот.
00006269-n	bul:exe	1	По полето кипи живот.
00006269-n	bul:exe	2	внасям живот в компанията
00006269-n	bul:lemma	живот
00006484-n	bul:def	0	Най-малката основна структурна и функционална единица на всеки жив организъм.
00006484-n	bul:exe	0	деление на клетки
00006484-n	bul:exe	1	жива клетка
00006484-n	bul:exe	10	стволова клетка
00006484-n	bul:exe	11	устройство на клетка
00006484-n	bul:exe	2	замразяване на клетки
00006484-n	bul:exe	3	клетката е най-малката единица на живот
00006484-n	bul:exe	4	клетката е основна единица в живото тяло
00006484-n	bul:exe	5	кръвни клетки
00006484-n	bul:exe	6	мъртва клетка
00006484-n	bul:exe	7	полови клетки
00006484-n	bul:exe	8	размножаване на клетки
00006484-n	bul:exe	9	ракова клетка
00006484-n	bul:lemma	клетка
00007328-v	bul:def	0	Вдишвам и издишвам голямо количество въздух с широко непроизволно отваряне на устата, обикновено при нужда от сън, липса на кислород.
00007328-v	bul:lemma	прозина се
00007328-v	bul:lemma	прозявам се
00007347-n	bul:def	0	Явление, което предхожда и задължително поражда някакво друго явление.
00007347-n	bul:exe	0	без причина
00007347-n	bul:exe	1	имам причина
00007347-n	bul:exe	2	не без причина
00007347-n	bul:exe	3	плача без причина
00007347-n	bul:exe	4	по една или друга причина
00007347-n	bul:exe	5	по каква причина?
00007347-n	bul:exe	6	по причина на
00007347-n	bul:exe	7	по простата причина, че
00007347-n	bul:exe	8	причина съм за
00007347-n	bul:exe	9	причината, поради която
00007347-n	bul:lemma	причина
00007846-n	bul:def	0	Отделен човек, който със своите неповторими качества се отличава, различава от другите хора.
00007846-n	bul:exe	0	високопоставена особа
00007846-n	bul:exe	1	ерудирана личност
00007846-n	bul:exe	2	запомняща се личност
00007846-n	bul:exe	3	известна личност
00007846-n	bul:exe	4	индивиди от различни поколения
00007846-n	bul:lemma	индивид
00007846-n	bul:lemma	лице
00007846-n	bul:lemma	личност
00007846-n	bul:lemma	особа
00009631-v	bul:def	0	Правя еднократно внезапно движение.
00009631-v	bul:lemma	мръдвам
00009631-v	bul:lemma	мръдна
00009631-v	bul:lemma	трепвам
00009631-v	bul:lemma	трепна
00010435-v	bul:def	0	Имам определени обноски, показвам някакво поведение.
00010435-v	bul:exe	0	Не умее да се държи в общество.
00010435-v	bul:exe	1	държа се възпитано
00010435-v	bul:exe	2	държа се грубо
00010435-v	bul:exe	3	държа се лигаво
00010435-v	bul:exe	4	държа се прилично
00010435-v	bul:exe	5	държа се свободно
00010435-v	bul:exe	6	държа се сериозно
00010435-v	bul:exe	7	зържа се просташки
00010435-v	bul:lemma	държа се
00011757-a	bul:def	0	Който съществува само в съзнанието.
00011757-a	bul:lemma	абстрактен
00011757-a	bul:lemma	отвлечен
00013160-a	bul:def	0	Който съществува в действителността и може да се възприема със сетивата, а не е абстрактен, въображаем.
00013160-a	bul:lemma	действителен
00013160-a	bul:lemma	конкретен
00013160-a	bul:lemma	реален
00013887-a	bul:def	0	Който е в голямо количество, много повече от нормалното, обикновеното, среща се, намира се в изобилие.
00013887-a	bul:lemma	изобилен
00014201-v	bul:def	0	Обзет съм от треперещи движения на тялото или негова част, обикновено от студ, болест или някакво неприятно изживяване.
00014201-v	bul:exe	0	Ръката ми трепери.
00014201-v	bul:exe	1	Целият треперя.
00014201-v	bul:exe	2	треперя от нерви
00014201-v	bul:exe	3	треперя от страх
00014201-v	bul:exe	4	треперя от студ
00014201-v	bul:lemma	треперя
00014549-v	bul:def	0	Намирам се в движение, премествам се в пространството.
00014549-v	bul:exe	0	Тя непрекъснато се движеше.
00014549-v	bul:lemma	движа
00014549-v	bul:lemma	мърдам
00015388-n	bul:def	0	Живо същество, което има сетива и се движи свободно.
00015388-n	bul:exe	0	безгръбначни животни
00015388-n	bul:exe	1	в света на животните
00015388-n	bul:exe	10	морски животни
00015388-n	bul:exe	11	обичам животните
00015388-n	bul:exe	12	питомни животни
00015388-n	bul:exe	13	преживни животни
00015388-n	bul:exe	14	сухоземни животни
00015388-n	bul:exe	15	убивам животно
00015388-n	bul:exe	16	хищни животни
00015388-n	bul:exe	2	гръбначни животни
00015388-n	bul:exe	3	диви животни
00015388-n	bul:exe	4	домашни животни
00015388-n	bul:exe	5	едноклетъчни животни
00015388-n	bul:exe	6	животни и растения
00015388-n	bul:exe	7	животно убиец
00015388-n	bul:exe	8	любимо животно
00015388-n	bul:exe	9	многоклетъчни животни
00015388-n	bul:lemma	животно
00015498-v	bul:def	0	Спя малко, кратко време.
00015498-v	bul:lemma	дремвам
00015498-v	bul:lemma	дремна
00015498-v	bul:lemma	поспивам
00015498-v	bul:lemma	поспя
00017222-n	bul:def	0	Организъм, който се храни направо от почвата и въздуха и е в неподвижно състояние.
00017222-n	bul:exe	0	влаголюбиво растение
00017222-n	bul:exe	1	едногодишни растения
00017222-n	bul:exe	10	сенколюбиво растение
00017222-n	bul:exe	11	стайно растение
00017222-n	bul:exe	2	маслодайни растения
00017222-n	bul:exe	3	ментата е растение с много приложения
00017222-n	bul:exe	4	много от растенията се използват в медицината
00017222-n	bul:exe	5	многогодишни растения
00017222-n	bul:exe	6	отровни растения
00017222-n	bul:exe	7	планинско растения
00017222-n	bul:exe	8	пълзящо растение
00017222-n	bul:exe	9	растение с красиви цветове
00017222-n	bul:lemma	растение
00017782-a	bul:def	0	Който може да бъде приет, който удовлетворява човек или е безопасен за хората и средата.
00017782-a	bul:lemma	допустим
00017782-a	bul:lemma	приемлив
00017865-v	bul:def	0	Приготвям се да спя.
00017865-v	bul:lemma	легна си
00017865-v	bul:lemma	лягам си
00018158-v	bul:def	0	Будя се от сън и напускам леглото.
00018158-v	bul:exe	0	Ставам в 7 часа.
00018158-v	bul:lemma	ставам
00018158-v	bul:lemma	стана
00018526-v	bul:def	0	Прекъсвам своя или нечий чужд сън.
00018526-v	bul:exe	0	Будя се от силен шум.
00018526-v	bul:exe	1	Будя се посред нощ.
00018526-v	bul:exe	2	Обикновено се будя към 6 часа.
00018526-v	bul:exe	3	Спя много спокойно и не се будя.
00018526-v	bul:exe	4	Често се будя през нощта.
00018526-v	bul:lemma	будя
00018526-v	bul:lemma	будя се
00018526-v	bul:lemma	пробудя
00018526-v	bul:lemma	пробудя се
00018526-v	bul:lemma	пробуждам
00018526-v	bul:lemma	пробуждам се
00018526-v	bul:lemma	разбудя
00018526-v	bul:lemma	разбудя се
00018526-v	bul:lemma	разбуждам
00018526-v	bul:lemma	разбуждам се
00018526-v	bul:lemma	събудя
00018526-v	bul:lemma	събудя се
00018526-v	bul:lemma	събуждам
00018526-v	bul:lemma	събуждам се
00019131-a	bul:def	0	Който може да бъде достигнат, защото е според възможностите на някого.
00019131-a	bul:lemma	достъпен
00020671-v	bul:def	0	Поставям някого под хипноза, като въздействам на възприятията му.
00020671-v	bul:lemma	хипнотизирам
00020827-n	bul:def	0	Това, от което се състоят нещата в света.
00020827-n	bul:exe	0	багрилно вещество
00020827-n	bul:exe	1	белтъчно вещество
00020827-n	bul:exe	10	ядрено вещество
00020827-n	bul:exe	2	взривно вещество
00020827-n	bul:exe	3	газообразно вещество
00020827-n	bul:exe	4	направен от някакво вещество
00020827-n	bul:exe	5	неорганични вещества
00020827-n	bul:exe	6	обмяна на веществата
00020827-n	bul:exe	7	органични вещества
00020827-n	bul:exe	8	твърдо вещество
00020827-n	bul:exe	9	течно вещество
00020827-n	bul:lemma	вещество
00020827-n	bul:lemma	материя
00020827-n	bul:lemma	субстанция
00021265-n	bul:def	0	Това, което живите същества и растенията поемат в себе си, за да поддържат живота и развитието си.
00021265-n	bul:exe	0	витаминозна храна
00021265-n	bul:exe	1	готви прекрасни яденета
00021265-n	bul:exe	10	разнообразна храна
00021265-n	bul:exe	11	суха храна
00021265-n	bul:exe	12	топла храна
00021265-n	bul:exe	13	храна за вкъщи
00021265-n	bul:exe	14	храна за животни
00021265-n	bul:exe	15	яденето е готово
00021265-n	bul:exe	16	яденето е сервирано
00021265-n	bul:exe	2	диетична храна
00021265-n	bul:exe	3	екологични храни
00021265-n	bul:exe	4	зърнени храни
00021265-n	bul:exe	5	искам храна и вода
00021265-n	bul:exe	6	калорична храна
00021265-n	bul:exe	7	нося ядене на болния
00021265-n	bul:exe	8	обичам да ям вкусна храна
00021265-n	bul:exe	9	пикантна храна
00021265-n	bul:lemma	храна
00021265-n	bul:lemma	ядене
00021766-a	bul:def	0	Който напълно съответства на действителността, отразява действителността.
00021766-a	bul:lemma	точен
00023271-n	bul:def	0	Съвкупност, сбор от сведения, факти в някоя или много области на науката или живота, които са придобити в резултат на изучаване, познавателна дейност, опит и др.
00023271-n	bul:exe	0	задълбочени знания
00023271-n	bul:exe	1	знанието е сила
00023271-n	bul:exe	2	имам широки знания в някаква област
00023271-n	bul:exe	3	нямам необходимите знания
00023271-n	bul:exe	4	област на знанието
00023271-n	bul:exe	5	повърхностни знания
00023271-n	bul:exe	6	показвам добри знания
00023271-n	bul:exe	7	проверка на знанията
00023271-n	bul:lemma	знание
00023646-v	bul:def	0	Внезапно губя съзнанаие или сила, обикновено поради болест, удар, физически или емоционален стрес и др.
00023646-v	bul:lemma	прилошава ми
00023646-v	bul:lemma	прилошее ми
00023646-v	bul:lemma	припадам
00023646-v	bul:lemma	припадна
00023773-n	bul:def	0	Онова, които определя, подтиква, подбужда човек към работа, дейност или определен вид поведение.
00023773-n	bul:exe	0	имам мотив за
00023773-n	bul:exe	1	имам ясна мотивация
00023773-n	bul:exe	2	користни подбуди
00023773-n	bul:exe	3	мотивация за издадена присъда
00023773-n	bul:exe	4	мотивация за определено поведение
00023773-n	bul:exe	5	мотивация към законопроект
00023773-n	bul:exe	6	нечисти подбуди
00023773-n	bul:exe	7	стимул за работа
00023773-n	bul:lemma	мотив
00023773-n	bul:lemma	мотивация
00023773-n	bul:lemma	подбуда
00023773-n	bul:lemma	подтик
00023773-n	bul:lemma	стимул
00024996-a	bul:def	0	Който е непознат за някого.
00024996-a	bul:lemma	нов
00025203-v	bul:def	0	Причинявам на някого тежко, мъчително душевно състояние, силно смущение, нервност, тревожност.
00025203-v	bul:exe	0	Думите му винаги ме напрягат.
00025203-v	bul:lemma	напрегна
00025203-v	bul:lemma	напрягам
00026385-v	bul:def	0	Отморявам се, отпускам се, ставам по-малко напрегнат, като се отдавам на приятни, неангажиращи неща.
00026385-v	bul:exe	0	Днес ще си почивам.
00026385-v	bul:exe	1	През отпуската си починах добре.
00026385-v	bul:exe	2	Ще разпусна за няколко дни на морето.
00026385-v	bul:lemma	отдъхвам
00026385-v	bul:lemma	отдъхна
00026385-v	bul:lemma	почивам
00026385-v	bul:lemma	разпускам
00026385-v	bul:lemma	разпусна
00027167-n	bul:def	0	Определено пространство, което се заема или би могло да се заеме от някакъв предмет, тяло.
00027167-n	bul:exe	0	диванът заема много място
00027167-n	bul:exe	1	има ли свободно място за още чинии?
00027167-n	bul:exe	10	свободно място
00027167-n	bul:exe	2	има място за всички
00027167-n	bul:exe	3	камъкът тежи на мястото си
00027167-n	bul:exe	4	място за паркиране
00027167-n	bul:exe	5	мястото е заето от друг автомобил
00027167-n	bul:exe	6	мястото е малко за масата
00027167-n	bul:exe	7	направете ми място
00027167-n	bul:exe	8	няма място да се обърне човек
00027167-n	bul:exe	9	празно място
00027167-n	bul:lemma	място
00028565-v	bul:def	0	Засмивам се леко или без глас, с усмивка изразявам радост, доволство, тъга, ирония и др.
00028565-v	bul:exe	0	Усмихна се и ме погледна.
00028565-v	bul:exe	1	Усмихна се под мустак.
00028565-v	bul:exe	2	Усмихна се с лека ирония.
00028565-v	bul:lemma	засмея се
00028565-v	bul:lemma	засмивам се
00028565-v	bul:lemma	усмихвам се
00028565-v	bul:lemma	усмихна се
00029025-v	bul:def	0	Смея се тихо или безгласно, с полуотворена уста, обикновено глуповато или подигравателно.
00029025-v	bul:lemma	хиля се
00030358-n	bul:def	0	Отделен, относително самостоятелен процес, който човек извършва при някаква дейност, за да бъде тя осъществена.
00030358-n	bul:exe	0	Британският премиер Тони Блеър определи убийството като безсмислен терористичен  акт , а външният министър Робин Кук заяви, че е шокиран.
00030358-n	bul:exe	1	ВИС-2 ще лансира версията, че става въпрос само за хулиганска  проява , за да спаси боса си от изцепката му.
00030358-n	bul:exe	10	акт на вмешателство
00030358-n	bul:exe	11	акт на добра воля
00030358-n	bul:exe	12	акт на признателност
00030358-n	bul:exe	13	действие и противодействие
00030358-n	bul:exe	14	желание за действие
00030358-n	bul:exe	15	начин на действие
00030358-n	bul:exe	16	свобода на действието
00030358-n	bul:exe	17	терористичен акт
00030358-n	bul:exe	18	той е човек на действието
00030358-n	bul:exe	19	хуманен акт
00030358-n	bul:exe	2	Военните убиха сина ми и скриха истината за зверското си  деяние , започва разказа си бай Христо.
00030358-n	bul:exe	3	Всеки от нас може да стане жертва на престъпна  проява , както и всеки може да се окаже неволен свидетел на такава.
00030358-n	bul:exe	4	Във всеки случай няма да предприема  действие , което да е незаконосъобразно, допълни министър Гоцев.
00030358-n	bul:exe	5	За да се претвори това решение в държавническо  действие , в което не може цялото общество да участва, се поражда представителната демокрация.
00030358-n	bul:exe	6	Като че съзнавахме, че извършихме пръв път в живота си едно добро, похвално  дело , изпълнихме един велик дълг пред един велик героизъм.
00030358-n	bul:exe	7	Нападението над журналистката Анна Заркова е безпрецедентен  акт , каза вицепремиерът Евгений Бакърджиев в Търговище.
00030358-n	bul:exe	8	Под понятието "престъпно  деяние " се разбира прането на пари, трафикът на хора, производството и разпространението на наркотични вещества, подкупите и рекетът.
00030358-n	bul:exe	9	Страхът и срамът от вашата  постъпка  са на път да ви разкаят.
00030358-n	bul:lemma	акт
00030358-n	bul:lemma	действие
00030358-n	bul:lemma	дело
00030358-n	bul:lemma	деяние
00030358-n	bul:lemma	постъпка
00030358-n	bul:lemma	проява
00031820-v	bul:def	0	Издавам смях.
00031820-v	bul:exe	0	Смее се като луд.
00031820-v	bul:exe	1	Смея се до припадък.
00031820-v	bul:exe	2	Смея се от все сърце.
00031820-v	bul:exe	3	Хората разговарят весело, смеят се.
00031820-v	bul:lemma	смея се
00031974-a	bul:def	0	Който е изпълнен с енергия, с живот и енергично извършва някаква дейност.
00031974-a	bul:lemma	активен
00031974-a	bul:lemma	деен
00032733-a	bul:def	0	Който е в постоянно движение и върши всичко с голяма лекота.
00032733-a	bul:lemma	подвижен
00032733-a	bul:lemma	пъргав
00032981-v	bul:def	0	Бърча чело, събирам вежди като израз на яд, гняв, недоволство.
00032981-v	bul:lemma	мръщя се
00033020-n	bul:def	0	Акт, процес на съобщаване, на връзка.
00033020-n	bul:exe	0	комуникациите бяха възстановени
00033020-n	bul:exe	1	съобщенията са прекъснати
00033020-n	bul:lemma	комуникация
00033020-n	bul:lemma	съобщение
00033203-v	bul:def	0	Впервам поглед, пълен с негодувание и омраза, в някого.
00033203-v	bul:lemma	гледам гневно
00033955-v	bul:def	0	Повдигам рамене в израз на несигурност.
00033955-v	bul:lemma	свивам рамене
00033955-v	bul:lemma	свия рамене
00034213-n	bul:def	0	Факт, действие или събитие, което става, което се случва като проява на природна или обществена сила.
00034213-n	bul:exe	0	дъждът е природно явление
00034213-n	bul:exe	1	научно явление
00034213-n	bul:exe	2	огнената дъга е едно от най-редките атмосферни явления на земята
00034213-n	bul:exe	3	паранормално явление
00034213-n	bul:exe	4	природен феномен
00034213-n	bul:exe	5	рядко природно явление
00034213-n	bul:exe	6	самороден феномен
00034213-n	bul:exe	7	технологично явление
00034213-n	bul:exe	8	физично явление
00034213-n	bul:lemma	феномен
00034213-n	bul:lemma	явление
00035189-n	bul:def	0	Постигнат, спечелен напредък в някаква дейност, област и под.
00035189-n	bul:exe	0	велики постижения на науката и изкуството
00035189-n	bul:exe	1	върховно постижение
00035189-n	bul:exe	2	голямо постижение
00035189-n	bul:exe	3	нямам постижения н работата си
00035189-n	bul:exe	4	постижения в областта на спорта
00035189-n	bul:exe	5	тредови постижения
00035189-n	bul:lemma	достижение
00035189-n	bul:lemma	постижение
00035189-n	bul:lemma	успех
00035368-a	bul:def	0	Който е освободен от работа, обикновено поради навършване на определена възраст.
00035368-a	bul:lemma	пенсионер
00036362-v	bul:def	0	С вода и сапун или с препарат правя нещо да стане чисто.
00036362-v	bul:exe	0	измивам кола
00036362-v	bul:exe	1	измивам ръцете си
00036362-v	bul:exe	2	измивам съдове
00036362-v	bul:lemma	измивам
00036362-v	bul:lemma	измия
00036362-v	bul:lemma	мия
00037298-v	bul:def	0	Със специален нож, бръснач режа косми ниско по кожата.
00037298-v	bul:exe	0	Бръсне си главата.
00037298-v	bul:exe	1	Ще си обръсна краката.
00037298-v	bul:lemma	бръсвам
00037298-v	bul:lemma	бръсна
00037298-v	bul:lemma	обръсвам
00037298-v	bul:lemma	обръсна
00038262-n	bul:def	0	Посока, насока на движение, развитие, политика и др.
00038262-n	bul:exe	0	курс към морето
00038262-n	bul:exe	1	курс на развитие на нещо
00038262-n	bul:exe	2	курс на юг
00038262-n	bul:exe	3	официален курс на политиката
00038262-n	bul:exe	4	посока на движение
00038262-n	bul:lemma	курс
00038262-n	bul:lemma	насока
00038262-n	bul:lemma	посока
00039021-n	bul:def	0	Взаимно действие, въздействие един върху друг между два или повече предмета, организъма и под.
00039021-n	bul:exe	0	взаимодействие между телата
00039021-n	bul:exe	1	взаимодействие на гените
00039021-n	bul:exe	2	взаимодействие на сяра с вода
00039021-n	bul:exe	3	влизам във взаимодействие с нещо
00039021-n	bul:exe	4	вътрешно взаимодействие
00039021-n	bul:exe	5	намирам се във взаимодействие с нещо
00039021-n	bul:exe	6	при взаимодействие
00039021-n	bul:exe	7	сили на взаимодействие
