# Multilingual Central Repository	eus	http://adimen.si.ehu.es/web/MCR/	CC BY 3.0
00001740-n	lemma	entitate
00001740-n	lemma	izaki
00001740-n	lemma	sorkari
00001740-v	lemma	arnasa hartu
00001740-v	lemma	arnastu
00001740-v	lemma	hats hartu
00002137-n	lemma	abstrakzio
00002684-n	lemma	gauza
00002684-n	lemma	gauzaki
00002684-n	lemma	objektu
00002724-v	lemma	arnasa estutu
00002724-v	lemma	bete
00002724-v	lemma	ito
00003431-v	lemma	korrok egin
00003431-v	lemma	korrokada egin
00003431-v	lemma	poker egin
00003553-n	lemma	unitate
00003826-v	lemma	zotin egin
00004032-v	lemma	hasperen egin
00004032-v	lemma	zizpurutu
00004258-n	lemma	bizidun
00004258-n	lemma	izaki bizidun
00004258-n	lemma	organismo
00004605-v	lemma	barreiatu
00004605-v	lemma	igorri
00004605-v	lemma	jariatu
00004605-v	lemma	jario
00004819-v	lemma	doministiku egin
00004819-v	lemma	usin egin
00005041-v	lemma	arnasa hartu
00005041-v	lemma	arnastu
00005526-v	lemma	arnasestuka jarri
00005526-v	lemma	hatsanditu
00005815-v	lemma	eztul egin
00006269-n	lemma	bizi
00006269-n	lemma	bizitza
00006400-n	lemma	unitate bizidun berezitu
00006484-n	lemma	zelula
00006523-v	lemma	arnasbehartu
00006523-v	lemma	arnasotsa atera
00006697-v	lemma	arnasestuka jarri
00006697-v	lemma	hatsanditu
00006697-v	lemma	hatsantu
00007012-v	lemma	haize egin
00007012-v	lemma	putz egin
00007328-v	lemma	aharrausi egin
00007347-n	lemma	kausa
00007549-v	lemma	esnifatu
00007549-v	lemma	usain egin
00007549-v	lemma	usaindu
00007549-v	lemma	usnatu
00007739-v	lemma	kliskatu
00007846-n	lemma	arima
00007846-n	lemma	gizabanako
00007846-n	lemma	gizaki
00007846-n	lemma	gizon
00007846-n	lemma	kristau
00007846-n	lemma	lagun
00007846-n	lemma	pertsona
00008195-v	lemma	kliskatu
00008299-v	lemma	keinu egin
00008299-v	lemma	kliskatu
00008602-v	lemma	ezkelka begiratu
00009147-v	lemma	azalberritu
00009147-v	lemma	ileberritu
00009147-v	lemma	lumaberritu
00010435-v	lemma	jokatu
00010435-v	lemma	portatu
00013615-v	lemma	itxura egin
00014034-v	lemma	astindu
00014034-v	lemma	eragin
00014201-v	lemma	dar-dar egin
00014201-v	lemma	dardaratu
00014201-v	lemma	ikaratu
00014742-v	lemma	lo egin
00015303-v	lemma	kuluxka bat egin
00015388-n	lemma	abere
00015388-n	lemma	animalia
00015388-n	lemma	fauna
00015498-v	lemma	siesta egin
00017031-v	lemma	zurrungatu
00017222-n	lemma	flora
00017222-n	lemma	landare
00018158-v	lemma	jaiki
00018526-v	lemma	esnatu
00018526-v	lemma	itzarri
00018813-v	lemma	iratzarri
00019128-n	lemma	objektu natural
00019613-n	lemma	gai
00019613-n	lemma	substantzia
